amount,tenure,score,group,target
293.84,7.6,14.187,beta,1160.41
488.61,0.7,48.462,beta,1403.61
709.83,3.1,53.606,gamma,949.37
304.81,0.4,27.162,beta,901.59
317.89,6.5,19.933,gamma,869.38
8992.078614111106,1.2,6.613,gamma,1367.45
455.69,31.8,5.35,beta,1172.58
629.5,0.7,68.261,alpha,525.24
497.27,18.5,14.38,beta,514.22
640.33,3.0,2.977,beta,792.49
292.98,5.2,99.876,beta,1057.54
497.58,19.4,18.591,beta,991.63
457.86,0.4,88.565,beta,1128.69
256.82,2.1,57.01,alpha,956.14
187.3,7.5,68.658,beta,1349.35
637.15,,51.701,gamma,1193.03
429.81,7.7,9.889,gamma,1019.39
295.54,,83.176,gamma,1286.33
480.76,14.2,81.077,gamma,587.77
725.6,0.4,28.465,gamma,978.73
43.85,4.8,74.024,alpha,1034.38
200.67,7.3,49.734,gamma,1150.51
315.42,13.6,89.995,alpha,571.21
792.24,7.2,78.311,alpha,934.9
556.52,6.1,-5.49,alpha,1100.12
653.46,4.0,86.72,beta,1119.29
271.97,9.1,96.542,alpha,1296.53
276.09,2.4,71.637,beta,1190.38
589.56,1.0,3.19,alpha,984.79
511.65,,78.811,alpha,1168.74
5548.900836271018,11.5,61.224,beta,949.66
462.47,1.2,27.271,beta,1036.69
555.63,0.3,87.243,beta,1198.7
531.62,12.1,52.212,beta,988.67
655.55,18.8,83.822,beta,1090.5
661.4,8.8,63.713,alpha,1240.33
176.03,0.4,21.737,beta,1178.04
50.55,2.4,97.252,gamma,1308.37
700.35,0.7,52.811,alpha,1582.11
737.55,16.9,46.843,alpha,1175.73
295.88,1.9,34.386,gamma,884.68
128.03,21.8,4.998,beta,1127.96
519.81,16.0,65.483,alpha,1117.2
5738.214816529681,7.1,37.388,gamma,1153.38
859.52,6.9,92.807,alpha,1373.75
603.26,1.2,96.161,beta,578.97
425.66,3.5,74.44,beta,1378.46
321.37,1.3,16.674,alpha,1462.6
502.29,21.2,68.758,gamma,1142.02
440.15,7.9,-7.754,beta,1148.03
296.99,1.0,80.904,alpha,939.59
909.75,20.8,44.298,gamma,1001.58
,0.8,93.041,beta,1174.49
727.21,3.0,31.554,gamma,1158.39
315.83,21.9,18.949,gamma,1180.18
671.0,11.4,99.456,alpha,1156.67
627.93,9.1,48.375,gamma,1224.6
588.51,24.4,84.95,alpha,1196.66
749.93,2.2,90.216,beta,743.91
627.07,4.0,47.032,beta,1208.07
648.0,6.0,40.129,beta,1464.65
627.38,21.8,50.817,alpha,993.34
568.16,1.6,83.251,alpha,1374.87
143.28,18.9,96.113,gamma,770.68
516.72,0.3,26.115,gamma,992.56
388.76,3.5,71.249,gamma,839.71
244.03,3.1,,beta,1344.81
836.36,7.4,57.205,gamma,1410.12
845.8,6.7,78.527,alpha,975.2
771.84,47.5,87.513,gamma,1292.77
551.04,5.8,39.359,alpha,1412.66
770.13,12.0,30.673,beta,991.77
502.41,0.4,,beta,1032.44
540.56,17.3,4.676,gamma,1183.4
281.31,6.6,30.141,alpha,789.37
579.4,5.6,85.918,beta,1027.52
512.08,1.8,,alpha,1535.7
239.47,34.0,24.902,alpha,875.0
489.76,11.8,71.305,beta,1213.46
484.05,3.8,13.714,gamma,1130.95
,0.4,18.192,alpha,959.06
678.84,21.3,92.95,gamma,1055.41
502.29,11.5,-1.025,beta,1438.15
549.76,6.4,,gamma,1138.4
508.84,3.7,53.443,alpha,1177.45
459.42,15.5,15.329,alpha,1400.22
283.51,18.0,20.911,gamma,927.65
469.79,6.3,14.403,alpha,738.27
350.78,,27.97,alpha,1442.09
,39.8,88.836,gamma,1034.13
602.24,53.4,37.475,gamma,1223.4
578.25,24.5,35.961,alpha,809.42
142.66,7.9,32.524,gamma,1097.13
475.46,1.4,96.053,beta,725.77
699.14,21.0,2.903,alpha,1015.93
711.84,0.4,85.906,beta,838.02
705.17,4.5,25.988,alpha,780.59
507.78,0.5,95.216,alpha,924.22
330.99,13.3,24.675,alpha,426.65
283.26,5.3,-0.884,alpha,710.02
568.92,9.5,47.205,beta,1195.6
575.86,7.1,15.065,gamma,1086.92
757.47,10.0,,beta,731.45
720.0,1.5,62.304,alpha,1136.97
473.55,1.2,65.512,beta,780.45
5926.146739252239,14.0,11.284,gamma,1180.49
436.18,6.6,67.949,gamma,971.09
543.45,6.9,24.246,gamma,918.72
459.58,0.9,99.854,beta,977.23
384.42,,70.494,beta,1639.88
550.58,9.8,54.945,alpha,810.3
399.21,0.3,85.383,beta,1056.64
374.39,1.2,54.824,beta,1195.34
562.29,9.2,50.802,alpha,759.4
419.6,0.9,16.105,alpha,601.44
548.82,3.6,64.592,gamma,849.73
554.64,1.6,31.211,alpha,1189.87
272.11,8.1,-5.261,alpha,914.5
403.75,8.5,79.767,beta,942.22
787.56,10.3,,alpha,1227.69
267.58,16.1,63.953,gamma,798.41
5721.4851016963785,5.8,7.239,gamma,977.81
127.63,0.5,37.583,gamma,621.54
505.82,23.4,84.5,alpha,1080.18
506.18,10.3,0.386,gamma,1057.38
476.48,5.7,63.387,alpha,1198.88
742.84,10.2,57.388,alpha,713.69
34.57,3.0,85.428,gamma,952.03
579.19,5.1,,gamma,680.38
812.29,14.4,77.977,alpha,938.47
274.44,12.1,39.513,gamma,1370.45
424.04,34.0,37.151,alpha,919.81
349.42,4.1,29.796,gamma,658.52
321.13,10.2,32.413,beta,830.03
434.75,8.3,47.196,alpha,597.26
,0.6,1.748,gamma,676.06
867.48,,36.757,gamma,1167.75
432.81,,61.718,gamma,638.43
881.01,6.1,44.801,beta,1078.08
507.12,1.3,8.241,gamma,1006.44
850.74,7.7,29.936,gamma,867.12
481.34,16.1,38.726,gamma,1056.84
526.21,24.2,63.576,beta,765.58
573.09,,89.084,alpha,1210.21
1135.77,3.9,50.541,beta,825.41
670.26,13.5,64.4,beta,903.41
358.55,12.3,,alpha,873.66
693.8,30.7,94.991,alpha,1172.37
427.63,12.1,24.673,beta,1136.11
402.05,8.1,28.972,gamma,344.57
681.72,2.4,14.513,alpha,1063.56
506.22,9.2,-0.686,gamma,563.85
555.72,3.7,76.905,gamma,914.67
502.8,1.7,16.454,alpha,972.96
567.32,27.8,21.096,alpha,911.99
584.99,5.5,9.998,gamma,1125.2
112.61,19.4,97.237,gamma,1180.02
633.31,18.0,75.914,beta,806.63
303.6,5.5,92.289,gamma,797.55
211.54,,84.79,alpha,991.01
488.32,14.1,,beta,614.07
5651.846311584592,0.2,42.694,beta,880.76
361.3,15.5,8.76,alpha,1337.02
666.21,3.3,25.957,gamma,623.42
231.56,2.4,22.17,beta,914.97
418.61,2.9,68.885,alpha,851.92
383.03,22.1,-7.176,alpha,1501.32
490.68,,5.625,alpha,865.53
555.77,5.5,65.117,beta,880.05
298.42,12.7,3.579,gamma,742.31
644.86,,-4.688,alpha,1002.33
512.6,2.1,2.014,beta,1067.54
121.61,9.3,65.974,beta,778.55
108.28,2.6,5.326,beta,1247.18
497.54,32.5,6.093,beta,1067.77
455.81,0.8,15.333,gamma,1212.97
479.32,0.7,72.6,gamma,917.97
494.4,5.9,12.039,beta,1060.8
545.11,1.3,-6.109,gamma,946.73
689.53,4.4,89.645,alpha,1364.42
277.78,19.1,86.395,alpha,1029.07
265.61,4.9,10.33,alpha,1002.19
281.34,0.4,19.188,alpha,885.44
557.78,40.4,10.741,gamma,871.01
748.99,1.7,69.149,alpha,1059.43
413.73,8.9,17.501,beta,1204.9
0.34,9.0,92.459,beta,828.86
159.2,5.3,81.041,gamma,1031.64
333.39,0.1,54.724,alpha,1046.04
388.45,7.0,-9.017,gamma,1089.59
418.32,3.6,87.204,beta,573.13
507.72,13.2,70.054,alpha,768.82
437.65,0.6,76.67,alpha,658.54
709.87,15.8,-2.099,gamma,1008.22
364.8,12.6,67.942,gamma,774.76
327.54,12.9,78.505,gamma,875.94
595.78,12.9,95.23,beta,701.43
192.87,32.2,53.852,gamma,899.19
577.94,1.3,45.885,alpha,718.97
520.51,0.9,36.794,alpha,1189.48
470.51,0.9,67.142,gamma,1119.81
817.66,8.6,91.29,alpha,1037.56
375.56,1.3,55.973,beta,924.51
912.06,8.8,15.001,beta,490.58
454.91,9.6,-8.067,alpha,885.45
244.6,1.3,58.102,gamma,809.64
513.98,19.1,85.106,alpha,1061.82
284.75,5.0,-2.743,gamma,1154.93
349.65,13.3,33.733,alpha,1081.16
579.41,13.5,93.405,beta,1315.76
611.12,2.1,45.184,alpha,857.92
375.57,26.7,14.272,beta,847.56
697.48,3.7,28.902,alpha,1259.47
731.5,38.5,34.895,alpha,1041.55
787.26,,2.902,beta,938.25
605.88,0.2,62.687,gamma,1461.63
772.69,2.3,55.138,gamma,1144.43
123.84,7.2,61.25,gamma,952.36
436.42,8.9,57.187,gamma,828.51
326.6,12.5,-8.166,gamma,1331.63
523.85,10.6,9.191,gamma,1051.75
385.71,4.5,8.213,beta,1006.13
466.77,14.7,0.775,gamma,1169.07
876.43,0.8,70.902,gamma,1220.02
466.06,0.4,3.215,beta,1137.47
582.76,1.6,63.501,alpha,1220.99
453.55,1.6,9.623,alpha,1112.84
515.14,5.8,3.014,beta,1138.72
501.2,11.0,7.878,beta,817.09
589.66,45.4,45.924,beta,1452.59
733.06,3.1,,gamma,691.58
829.48,10.8,79.312,beta,1077.34
561.92,1.9,4.142,beta,665.81
617.91,0.6,57.781,gamma,975.47
269.83,0.4,75.122,gamma,857.18
482.42,15.5,24.365,beta,1033.94
688.06,47.2,-1.231,beta,1085.44
673.19,32.4,7.154,alpha,760.92
542.32,6.9,0.071,beta,992.65
677.28,0.5,87.593,alpha,1348.42
,2.2,31.437,beta,671.93
740.06,19.0,47.568,beta,786.49
557.87,3.0,74.556,alpha,1215.19
428.86,10.5,30.865,gamma,1019.39
567.17,4.3,61.401,alpha,1037.79
86.12,8.5,-1.565,beta,1255.58
576.58,19.5,42.9,beta,801.48
229.68,7.0,0.617,beta,870.17
155.31,58.6,17.311,beta,839.34
590.35,5.5,22.267,alpha,912.95
,5.3,68.934,alpha,1334.88
267.51,8.0,64.151,gamma,574.73
357.58,0.7,72.179,alpha,701.45
774.11,19.6,-3.207,beta,658.58
403.19,5.7,99.331,alpha,1350.42
948.58,14.3,-4.014,beta,846.4
499.62,9.2,80.832,beta,918.33
581.61,10.6,71.43,beta,596.34
823.37,11.8,55.094,gamma,934.4
526.21,3.5,38.274,alpha,1216.63
299.53,19.2,73.285,beta,1063.24
478.05,0.0,71.384,alpha,973.03
492.88,0.9,5.09,beta,608.78
227.05,16.0,77.19,alpha,918.01
448.83,32.8,-1.359,alpha,1036.73
351.56,3.5,45.06,gamma,752.04
684.87,1.8,60.959,gamma,1163.72
506.92,7.9,80.386,alpha,1221.27
443.44,1.8,40.942,alpha,867.84
478.76,0.3,,alpha,1181.46
544.62,8.1,43.973,alpha,972.57
623.36,,17.523,gamma,1286.78
300.06,11.2,48.16,beta,1508.54
291.68,5.5,40.876,beta,726.58
720.94,31.8,75.855,beta,1192.37
,9.9,16.41,beta,1326.24
216.63,14.8,11.998,beta,757.33
588.76,7.5,42.16,beta,856.22
592.67,12.5,-4.445,gamma,853.41
193.86,19.9,15.227,alpha,966.8
545.9,8.1,28.908,beta,910.91
647.12,8.1,43.639,alpha,950.43
574.88,2.1,19.638,beta,1209.5
626.4,0.3,51.67,gamma,526.05
219.15,3.9,86.626,gamma,756.53
566.21,8.8,49.81,beta,1167.48
439.48,17.5,21.552,alpha,1138.19
403.44,8.1,-3.182,gamma,735.36
674.11,33.5,5.033,beta,1139.93
795.85,11.7,51.734,gamma,1331.72
858.87,21.2,65.208,beta,987.74
9891.838444114233,67.7,-4.537,alpha,748.01
478.05,28.2,10.41,gamma,1218.74
570.54,35.8,25.099,gamma,1430.76
653.36,6.4,25.175,gamma,778.46
524.24,2.1,,alpha,1009.81
526.15,5.2,12.415,beta,1272.54
664.75,1.0,-3.123,beta,1028.84
488.14,1.5,28.832,alpha,563.18
354.14,0.3,4.789,gamma,1110.85
417.11,0.0,3.924,alpha,755.3
626.78,27.8,34.82,alpha,682.32
500.6,41.8,,alpha,568.06
568.04,13.4,0.09,gamma,1297.6
,10.3,56.473,alpha,791.32
425.03,8.1,45.187,beta,1083.33
651.25,43.7,-1.519,alpha,1144.74
575.77,4.7,84.902,beta,1040.45
253.04,18.3,,beta,1074.14
788.46,3.3,95.752,alpha,1095.26
399.85,3.4,92.469,alpha,1034.52
168.98,14.7,37.751,beta,809.96
290.99,17.4,15.142,alpha,787.67
295.79,1.5,81.834,beta,973.75
510.43,12.9,29.741,beta,968.46
445.23,12.1,7.991,alpha,1107.33
432.63,2.6,50.677,alpha,1275.41
623.94,30.7,43.834,beta,1085.98
567.98,8.1,83.502,gamma,797.28
563.21,5.1,70.221,alpha,454.71
581.97,5.0,,beta,807.77
623.23,5.1,70.817,gamma,663.88
78.41,0.6,60.639,beta,817.41
427.11,16.8,45.019,alpha,1060.57
63.96,,98.631,gamma,1021.1
507.21,25.8,95.508,beta,1464.54
499.07,5.5,83.374,beta,1120.77
709.11,15.1,75.285,gamma,1477.29
737.53,4.9,53.532,alpha,1178.78
540.56,1.9,18.573,gamma,1271.43
399.93,5.5,86.298,beta,910.27
597.03,5.6,-8.81,gamma,731.37
394.42,2.4,15.018,gamma,887.76
499.72,6.0,,gamma,997.03
697.23,7.2,54.477,alpha,842.96
388.45,3.5,51.697,alpha,749.71
661.14,0.7,9.34,gamma,1104.21
635.48,3.0,1.528,beta,748.65
309.04,24.6,14.456,gamma,616.63
694.78,9.8,,gamma,719.48
639.71,4.5,-8.454,beta,941.41
520.39,3.6,66.17,alpha,752.27
347.54,12.2,17.25,alpha,942.98
328.16,2.4,28.654,gamma,1150.11
392.47,2.9,26.839,alpha,1143.61
608.52,21.2,46.301,alpha,834.79
,6.9,84.578,alpha,674.01
587.5,2.0,6.433,gamma,856.09
251.65,0.3,27.48,beta,1163.91
459.19,40.4,66.123,gamma,1222.3
521.93,0.0,-5.135,beta,1088.22
989.03,8.7,81.298,beta,1300.36
224.54,12.2,95.801,alpha,1432.3
794.4,9.3,56.84,beta,879.19
529.97,5.6,95.216,beta,1371.64
582.23,22.1,35.437,gamma,934.86
523.67,24.6,35.653,gamma,1254.96
588.95,5.9,1.687,gamma,1177.14
469.26,8.2,-6.101,gamma,505.74
790.81,8.3,16.895,gamma,758.44
408.71,12.8,42.594,gamma,694.68
726.45,2.5,45.845,gamma,554.49
371.13,0.8,13.933,alpha,1219.83
487.95,6.2,,alpha,1517.19
285.61,1.3,9.933,beta,935.58
591.0,7.2,25.883,alpha,1213.54
789.03,18.1,11.528,beta,1371.16
484.53,7.0,66.633,alpha,1052.08
460.62,8.6,46.823,gamma,993.67
,,70.971,beta,938.58
,15.3,-3.703,alpha,1134.39
181.44,9.5,36.79,beta,1218.67
317.42,6.2,96.365,gamma,1115.45
545.36,6.0,-4.102,alpha,1106.87
763.8,,36.022,gamma,987.2
,6.2,-5.556,gamma,601.76
382.68,16.0,6.132,gamma,1224.43
787.06,5.6,40.878,alpha,678.84
548.75,4.9,7.326,beta,1154.85
469.75,8.9,47.063,gamma,1188.93
586.52,2.0,91.5,beta,714.89
512.38,1.0,12.045,beta,848.05
,14.0,1.791,alpha,1530.37
418.33,3.7,80.78,beta,980.13
220.38,3.3,40.63,gamma,694.95
191.27,22.3,87.087,alpha,1200.22
630.65,26.1,23.674,gamma,806.83
444.66,7.6,59.029,gamma,519.87
380.78,,91.564,alpha,1129.94
501.7,36.5,8.887,gamma,770.85
658.99,5.5,78.08,beta,1080.3
536.07,21.3,59.467,alpha,796.83
368.79,14.2,79.424,beta,1176.8
745.26,32.4,8.776,beta,1045.87
815.84,2.8,37.75,alpha,352.7
598.91,17.7,4.172,beta,1095.5
694.73,1.9,95.609,beta,927.57
748.39,17.6,-3.104,beta,1354.18
726.02,4.2,-2.797,beta,1098.8
622.82,0.6,88.797,beta,1189.04
619.67,18.9,23.084,beta,822.36
5412.59014410414,0.6,55.672,beta,802.48
280.53,20.0,21.622,gamma,993.59
640.14,2.3,61.363,gamma,909.85
228.84,8.9,11.172,beta,1334.5
341.08,0.4,,gamma,961.67
760.71,0.8,48.684,gamma,693.79
668.04,3.2,26.701,alpha,793.1
797.48,4.8,17.687,beta,1241.26
445.67,2.1,5.423,gamma,958.19
269.55,1.3,67.676,alpha,944.82
451.91,1.6,8.511,beta,1265.05
520.41,,22.134,gamma,771.31
515.8,0.6,27.06,gamma,441.21
726.74,25.9,39.98,gamma,786.78
427.75,26.5,67.283,beta,1060.52
570.41,0.7,37.074,alpha,937.62
302.27,13.2,85.82,alpha,609.89
590.06,12.3,64.776,gamma,1254.01
500.62,8.7,82.234,gamma,1040.87
350.04,3.1,68.799,alpha,1097.25
452.83,8.7,6.349,alpha,1104.9
463.16,20.5,97.572,alpha,675.37
445.97,3.7,76.524,gamma,1075.72
854.27,16.8,52.999,gamma,1226.86
480.31,6.7,8.175,gamma,1285.08
,23.8,8.995,alpha,1180.32
80.51,10.2,57.576,gamma,1128.28
321.16,18.6,35.782,gamma,565.64
447.39,32.4,64.345,beta,996.27
362.83,6.1,30.967,gamma,760.86
776.34,12.1,46.413,beta,1320.54
467.01,37.9,10.675,alpha,1282.59
757.69,59.5,7.072,beta,762.37
512.34,8.9,-1.679,alpha,988.51
507.45,30.7,80.16,alpha,1062.13
,4.9,51.092,beta,1225.2
500.76,5.5,,gamma,581.1
843.76,29.6,72.443,alpha,447.59
36.08,10.6,74.564,alpha,1009.54
99.69,19.1,45.996,gamma,367.15
391.37,5.0,79.7,alpha,1039.64
502.91,17.6,93.627,alpha,1148.05
638.02,20.6,69.391,alpha,1309.02
594.62,5.3,1.615,alpha,844.36
423.15,7.7,61.612,gamma,1040.3
703.81,4.4,3.248,beta,1162.88
706.04,23.4,-1.506,gamma,706.07
536.81,12.9,66.219,gamma,1228.84
692.53,2.0,81.826,beta,1068.59
554.53,33.4,7.473,gamma,848.64
387.7,,-1.844,alpha,1035.35
639.56,5.4,87.518,alpha,965.17
522.12,10.6,4.543,gamma,1195.02
500.27,2.6,-6.141,beta,909.88
794.59,4.1,,beta,1056.77
9.83,21.0,83.249,beta,844.77
216.46,4.0,46.592,gamma,765.54
262.59,42.2,49.392,alpha,1042.88
,2.9,27.055,gamma,775.81
449.08,24.1,16.231,gamma,1200.15
198.53,24.5,73.076,gamma,1148.06
302.97,13.8,83.421,alpha,808.72
327.83,,25.337,alpha,1053.45
991.48,5.1,20.12,alpha,807.58
860.35,8.0,19.457,gamma,598.92
417.65,16.4,-4.435,beta,850.69
427.28,43.4,20.918,gamma,987.42
270.16,12.4,-7.178,alpha,1130.35
118.37,,76.725,beta,1037.37
476.62,,18.152,alpha,1226.92
300.43,6.7,65.917,gamma,754.71
483.03,2.8,49.751,alpha,905.83
,25.7,82.121,beta,1411.09
347.61,45.4,95.642,gamma,517.23
529.73,18.8,30.402,gamma,887.01
573.24,3.6,-0.283,gamma,732.13
583.49,11.3,72.461,beta,951.15
235.9,12.9,-7.657,alpha,891.39
670.94,6.1,14.526,alpha,1150.54
339.96,12.4,-4.142,beta,1063.88
626.57,39.8,88.796,beta,673.6
497.87,7.7,-9.417,beta,852.96
224.72,8.5,,alpha,999.97
436.76,13.1,36.64,gamma,1184.85
573.07,8.0,61.802,beta,1608.24
622.59,21.0,21.872,alpha,1175.7
471.8,6.1,86.106,gamma,746.88
806.36,11.6,,beta,976.54
701.5,17.7,37.552,alpha,1045.24
448.67,3.1,29.383,beta,870.15
650.02,8.4,79.748,gamma,1117.56
886.76,7.4,73.277,gamma,432.16
892.1,6.7,33.89,alpha,1138.29
254.4,5.7,27.551,gamma,880.9
314.69,2.2,-5.722,beta,972.57
796.98,14.1,-1.012,gamma,1366.43
288.34,1.3,-4.069,gamma,684.62
235.49,25.4,,gamma,1068.18
402.76,4.9,6.816,beta,1198.48
584.05,4.1,84.286,beta,1042.58
479.52,4.7,77.798,gamma,596.45
369.89,28.8,83.013,gamma,1337.6
365.16,5.0,58.618,gamma,947.16
357.53,9.6,58.647,gamma,868.11
324.1,1.5,3.632,beta,922.38
956.33,22.0,66.886,gamma,904.46
559.5,26.0,20.803,gamma,702.46
,0.5,47.118,alpha,1041.24
,4.4,95.019,alpha,850.69
462.81,2.2,85.768,gamma,1167.72
357.29,45.5,15.651,beta,1129.4
30.34,3.0,71.032,gamma,1406.42
224.4,16.4,1.45,alpha,947.09
137.88,18.8,-7.058,beta,799.19
,31.9,-6.901,gamma,632.56
260.93,5.5,8.727,beta,1548.34
764.99,1.5,66.444,gamma,1165.53
491.11,1.0,29.964,alpha,826.9
758.11,11.1,-8.246,beta,1423.29
582.2,14.3,98.682,beta,1339.04
656.51,6.1,48.672,gamma,662.18
319.82,12.1,33.327,beta,811.63
604.79,9.5,47.073,alpha,966.92
645.74,6.9,47.197,gamma,732.48
384.67,13.5,41.726,gamma,975.86
611.91,1.5,57.424,gamma,1177.99
613.24,2.3,87.419,alpha,656.68
390.09,14.6,23.189,gamma,1073.25
275.45,49.9,43.567,beta,1292.12
263.17,12.5,-9.599,gamma,1100.06
517.3,6.9,84.58,beta,981.1
565.4,17.7,,gamma,832.97
341.49,52.0,19.843,beta,1207.71
505.32,4.8,99.729,beta,705.77
614.11,4.8,54.283,gamma,1060.7
623.64,0.1,3.535,alpha,1006.38
810.38,5.7,19.208,gamma,1281.4
755.4,1.2,28.855,alpha,854.31
299.74,28.6,98.467,gamma,875.57
836.72,36.9,37.368,alpha,689.53
393.8,1.8,15.315,alpha,1109.32
708.97,50.5,52.67,beta,894.05
513.6,8.9,34.524,alpha,784.48
417.57,0.2,-3.954,alpha,808.3
138.46,32.8,84.701,alpha,1134.28
465.69,5.8,-8.274,alpha,724.26
188.12,,88.833,beta,746.46
693.46,5.5,77.104,alpha,1224.09
803.36,3.3,-1.659,alpha,958.47
340.62,10.1,69.597,beta,1238.86
560.39,2.0,74.804,alpha,910.16
354.92,17.7,56.254,gamma,999.72
374.3,21.1,53.544,gamma,1039.07
7736.631836526283,3.0,-4.534,alpha,1346.82
492.29,16.6,-3.455,gamma,1326.47
847.93,14.7,70.002,gamma,1288.31
403.55,38.4,1.612,gamma,842.8
699.87,1.3,16.603,beta,753.29
519.48,2.4,44.872,alpha,1190.2
659.16,5.6,8.058,gamma,1344.19
410.57,2.7,76.882,beta,1290.7
490.09,6.3,78.812,alpha,1003.26
476.9,,82.636,alpha,1181.95
9565.105013836737,18.2,-4.548,alpha,1186.35
632.42,14.5,37.066,beta,1037.24
630.05,7.7,83.161,beta,1048.09
618.71,34.2,29.954,beta,1024.55
807.39,62.5,66.54,gamma,802.98
789.87,6.5,54.817,gamma,828.49
425.01,,28.193,gamma,824.63
574.61,7.0,20.405,beta,600.19
375.28,20.3,61.802,gamma,1035.71
504.67,21.4,4.699,alpha,989.86
380.05,5.3,84.613,beta,1190.49
824.01,13.1,53.409,beta,1315.18
572.74,5.9,2.265,alpha,1331.07
456.39,17.5,67.388,gamma,1354.62
738.72,6.3,37.422,alpha,810.73
65.88,1.9,12.449,alpha,642.01
97.18,21.6,95.718,alpha,1232.69
659.17,17.6,69.161,gamma,1345.53
512.09,20.7,,beta,1389.0
550.09,15.7,83.375,alpha,1121.25
234.72,20.8,49.826,gamma,500.82
495.35,2.9,38.562,alpha,1091.4
900.7,,10.839,alpha,1138.86
664.84,3.2,6.873,gamma,1313.02
533.94,12.0,37.517,alpha,1357.41
412.19,12.5,40.157,alpha,1227.41
421.09,5.1,70.664,beta,853.18
74.16,12.8,38.629,gamma,742.72
551.53,18.2,55.248,gamma,1133.49
669.1,9.3,81.577,alpha,801.9
184.88,1.7,99.267,alpha,1368.78
367.72,3.8,25.478,beta,573.86
268.51,18.9,89.215,beta,1141.72
306.93,7.8,78.666,beta,1079.88
510.7,,-2.519,beta,948.31
,29.7,26.757,gamma,768.72
622.85,6.8,,alpha,484.56
650.77,43.6,63.082,gamma,867.14
9286.075119103378,14.7,51.083,gamma,871.53
3.86,25.9,44.434,gamma,1277.93
300.72,7.2,73.992,beta,804.29
746.58,22.0,26.664,beta,1113.19
7705.842275103534,4.1,32.103,beta,676.94
430.5,4.7,85.22,alpha,1120.06
264.0,16.4,96.943,alpha,440.57
660.91,1.7,75.399,beta,1523.82
364.98,5.7,13.878,beta,964.73
580.79,14.4,2.392,beta,301.37
613.09,35.7,13.013,beta,820.56
867.25,3.5,,alpha,781.08
459.41,23.0,16.037,gamma,836.05
575.21,,89.115,gamma,908.84
202.99,55.3,,alpha,834.35
738.08,,35.84,alpha,795.9
347.9,10.8,20.119,beta,710.33
387.85,19.5,31.873,alpha,1205.45
495.55,0.5,42.366,alpha,1300.28
187.42,24.8,68.52,gamma,936.36
8527.926681538607,4.5,-0.172,alpha,995.59
693.49,18.4,83.372,beta,718.42
558.59,10.9,4.032,gamma,1017.76
,5.3,18.87,gamma,1057.49
475.24,32.8,99.295,alpha,945.15
648.41,0.3,10.923,alpha,1099.02
124.4,6.9,1.126,gamma,1077.18
285.05,5.1,,beta,736.47
675.31,3.5,,gamma,1298.26
554.02,,0.102,beta,948.09
582.39,11.5,-9.588,alpha,1418.89
871.9,10.1,-1.292,alpha,1105.11
593.71,13.7,47.501,gamma,1492.73
631.58,4.1,15.398,gamma,1293.82
1042.15,39.0,75.531,gamma,1056.8
7787.302066570017,,84.326,alpha,819.22
340.42,32.5,5.932,alpha,824.61
585.56,0.9,27.072,alpha,1133.26
587.8,5.3,6.123,gamma,1035.78
394.66,8.3,21.536,alpha,852.74
293.52,2.7,16.312,gamma,1208.26
961.97,7.3,76.555,alpha,1009.69
565.37,6.5,28.003,beta,1209.75
353.54,15.2,44.512,alpha,756.13
683.19,5.9,64.128,beta,1249.87
478.17,7.7,80.448,gamma,1125.25
449.42,4.8,23.133,alpha,1299.39
612.45,54.2,13.014,beta,1244.36
241.62,3.1,97.63,alpha,978.76
570.53,7.7,25.216,alpha,958.66
882.59,11.9,63.817,gamma,1445.76
593.24,5.7,64.563,beta,927.36
424.76,0.3,46.543,beta,1187.11
398.58,10.5,15.129,alpha,904.65
,7.6,5.56,alpha,534.53
449.21,0.2,43.572,beta,693.17
424.44,10.3,46.202,alpha,1101.48
683.26,3.7,75.07,gamma,1175.28
153.36,15.9,68.082,alpha,1102.3
672.4,0.5,90.325,gamma,1286.49
424.06,6.9,96.795,alpha,1097.82
575.39,3.9,70.064,beta,806.19
274.6,0.8,-1.584,alpha,1148.58
765.73,26.0,34.563,alpha,1042.4
749.13,7.7,56.968,beta,856.11
691.92,5.5,54.921,alpha,1118.13
197.05,18.8,9.959,alpha,1019.84
665.82,7.3,54.124,gamma,848.75
580.97,12.9,28.465,beta,955.53
178.95,7.6,27.282,beta,1353.39
495.14,,81.741,beta,1345.22
572.91,13.3,36.413,beta,1047.04
611.22,0.4,48.014,beta,1014.32
535.45,7.5,51.916,gamma,641.74
558.25,38.1,51.93,beta,1429.84
794.72,1.7,13.443,beta,1259.09
745.21,21.1,55.94,alpha,1187.99
73.41,3.3,26.809,gamma,431.32
436.51,25.5,62.052,beta,1010.23
467.07,2.0,6.027,beta,968.22
149.58,5.9,99.353,gamma,1170.7
518.84,10.7,74.925,alpha,887.24
749.75,47.6,35.898,alpha,942.07
5069.716668473952,3.6,23.149,alpha,1154.85
567.28,17.3,32.658,alpha,806.61
316.84,5.6,69.333,beta,856.49
365.62,,62.095,beta,1048.33
795.48,12.7,67.23,alpha,1334.62
391.49,1.0,87.79,alpha,1202.12
592.44,9.4,40.192,gamma,1268.85
,1.9,63.647,alpha,1015.83
872.46,4.1,38.566,gamma,1373.77
620.53,10.3,60.191,gamma,564.7
463.5,2.6,42.231,beta,1505.56
615.11,,75.433,beta,1537.94
218.04,7.2,,beta,1114.15
736.51,9.1,13.728,alpha,1208.07
