amount,tenure,score,group,target,outlier
501.44,24.0,73.732,beta,1000.02,0
376.07,22.4,-7.496,alpha,1037.42,1
594.23,14.6,1.453,beta,1188.05,0
393.31,2.6,7.805,alpha,883.55,0
417.67,2.2,24.366,beta,655.59,0
772.53,40.5,34.329,alpha,1090.9,1
291.88,1.9,42.472,gamma,826.8,0
17.44,62.2,16.986,gamma,852.68,1
822.19,32.9,-2.716,alpha,964.31,1
1009.87,7.6,64.528,beta,906.96,0
501.44,7.6,-7.397,beta,1277.51,0
112.63,3.1,79.042,alpha,958.31,0
437.9,8.1,92.207,gamma,1290.11,0
442.76,8.4,68.141,beta,1051.5,0
462.02,8.4,55.556,alpha,977.87,0
277.32,25.8,43.3885,beta,1039.56,0
615.91,7.8,61.744,gamma,677.09,0
604.9,1.8,92.488,beta,1084.52,0
201.12,5.2,96.074,gamma,1212.3,0
639.84,15.5,36.938,alpha,1247.71,0
910.54,3.9,57.879,gamma,661.96,0
534.39,7.3,78.309,alpha,620.25,0
432.53,8.4,-9.886,beta,865.8,0
471.6,5.8,47.972,beta,1346.17,0
623.05,2.3,61.816,alpha,1055.24,0
153.87,32.5,68.893,gamma,806.33,1
532.88,11.0,30.567,beta,636.77,0
421.91,7.5,22.521,beta,829.0,0
869.57,46.8,10.036,beta,812.11,1
465.17,24.7,51.36,alpha,1233.9,0
833.58,1.5,91.123,beta,1253.14,0
279.25,20.2,88.558,alpha,737.52,0
617.45,13.6,29.596,gamma,1188.29,0
563.88,21.3,18.364,gamma,1162.69,0
326.19,5.0,76.767,gamma,705.08,0
535.48,7.6,69.748,alpha,979.05,0
501.44,20.6,45.587,beta,1085.2,0
435.24,18.4,32.793,beta,1040.81,0
161.61,10.0,3.618,gamma,572.36,0
496.49,18.8,76.365,beta,1032.8,0
319.52,1.2,57.921,gamma,1159.07,0
431.53,13.4,31.457,alpha,1394.9,0
483.68,0.1,91.067,gamma,832.8,0
158.87,0.9,62.564,beta,863.64,0
492.29,0.5,92.216,gamma,947.78,0
596.41,32.8,42.185,alpha,1072.8,0
395.46,22.1,40.008,alpha,1024.25,0
12.95,12.5,93.096,beta,1151.08,1
656.97,9.3,95.577,beta,718.7,0
554.47,1.8,95.684,alpha,1099.21,0
357.23,1.6,80.079,beta,814.45,0
236.63,8.4,40.865,beta,964.17,0
515.645,20.7,50.267,alpha,1427.0,0
569.87,19.8,32.178,beta,650.44,0
976.52,42.0,93.213,gamma,930.13,1
584.04,7.7,29.991,alpha,681.34,0
577.54,2.0,73.239,gamma,1038.27,0
466.61,1.6,91.53,beta,1262.06,0
663.36,2.3,96.743,alpha,1042.41,0
625.02,39.8,94.244,gamma,970.82,1
750.35,1.4,51.056,gamma,1332.1,0
395.74,9.5,44.107,gamma,1082.63,0
412.92,35.5,44.434,gamma,1204.89,0
404.18,7.6,14.0,alpha,1178.81,0
658.16,1.5,10.628,alpha,280.94,0
799.67,14.3,95.95,alpha,980.83,1
408.23,2.0,65.811,gamma,730.48,0
415.05,25.5,48.993,alpha,792.67,0
562.82,0.7,50.267,alpha,1368.65,0
450.85,8.7,46.456,gamma,906.3,0
690.41,16.3,93.864,alpha,1473.14,0
49.64,2.0,56.318,beta,648.08,0
334.66,0.5,34.509,alpha,729.08,0
343.52,8.2,50.621,alpha,1190.59,0
35.93,8.4,87.476,beta,914.66,1
307.27,3.5,90.413,gamma,1076.83,0
316.97,13.3,34.01,alpha,971.92,0
459.78,15.0,56.887,alpha,964.36,0
722.59,32.3,20.712,beta,923.94,1
450.99,49.8,39.619,beta,1044.87,1
293.84,7.6,14.187,beta,1160.41,0
488.61,0.7,48.462,beta,1403.61,0
709.83,3.1,53.606,gamma,949.37,0
304.81,0.4,27.162,beta,901.59,0
317.89,6.5,19.933,gamma,869.38,0
8992.078614111106,1.2,6.613,gamma,1367.45,1
455.69,31.8,5.35,beta,1172.58,1
629.5,0.7,68.261,alpha,525.24,0
497.27,18.5,14.38,beta,514.22,0
640.33,3.0,2.977,beta,792.49,0
292.98,5.2,99.876,beta,1057.54,0
497.58,19.4,18.591,beta,991.63,0
457.86,0.4,88.565,beta,1128.69,0
256.82,2.1,57.01,alpha,956.14,0
187.3,7.5,68.658,beta,1349.35,0
637.15,7.7,51.701,gamma,1193.03,0
429.81,7.7,9.889,gamma,1019.39,0
295.54,7.7,83.176,gamma,1286.33,0
480.76,14.2,81.077,gamma,587.77,0
725.6,0.4,28.465,gamma,978.73,0
43.85,4.8,74.024,alpha,1034.38,0
200.67,7.3,49.734,gamma,1150.51,0
315.42,13.6,89.995,alpha,571.21,0
792.24,7.2,78.311,alpha,934.9,0
556.52,6.1,-5.49,alpha,1100.12,0
653.46,4.0,86.72,beta,1119.29,0
271.97,9.1,96.542,alpha,1296.53,0
276.09,2.4,71.637,beta,1190.38,0
589.56,1.0,3.19,alpha,984.79,0
511.65,8.2,78.811,alpha,1168.74,0
5548.900836271018,11.5,61.224,beta,949.66,1
462.47,1.2,27.271,beta,1036.69,0
555.63,0.3,87.243,beta,1198.7,0
531.62,12.1,52.212,beta,988.67,0
655.55,18.8,83.822,beta,1090.5,0
661.4,8.8,63.713,alpha,1240.33,0
176.03,0.4,21.737,beta,1178.04,0
50.55,2.4,97.252,gamma,1308.37,1
700.35,0.7,52.811,alpha,1582.11,0
737.55,16.9,46.843,alpha,1175.73,0
295.88,1.9,34.386,gamma,884.68,0
128.03,21.8,4.998,beta,1127.96,1
519.81,16.0,65.483,alpha,1117.2,0
5738.214816529681,7.1,37.388,gamma,1153.38,1
859.52,6.9,92.807,alpha,1373.75,1
603.26,1.2,96.161,beta,578.97,0
425.66,3.5,74.44,beta,1378.46,0
321.37,1.3,16.674,alpha,1462.6,0
502.29,21.2,68.758,gamma,1142.02,0
440.15,7.9,-7.754,beta,1148.03,0
296.99,1.0,80.904,alpha,939.59,0
909.75,20.8,44.298,gamma,1001.58,1
501.44,0.8,93.041,beta,1174.49,0
727.21,3.0,31.554,gamma,1158.39,0
315.83,21.9,18.949,gamma,1180.18,0
671.0,11.4,99.456,alpha,1156.67,1
627.93,9.1,48.375,gamma,1224.6,0
588.51,24.4,84.95,alpha,1196.66,0
749.93,2.2,90.216,beta,743.91,0
627.07,4.0,47.032,beta,1208.07,0
648.0,6.0,40.129,beta,1464.65,0
627.38,21.8,50.817,alpha,993.34,0
568.16,1.6,83.251,alpha,1374.87,0
143.28,18.9,96.113,gamma,770.68,1
516.72,0.3,26.115,gamma,992.56,0
388.76,3.5,71.249,gamma,839.71,0
244.03,3.1,43.3885,beta,1344.81,0
836.36,7.4,57.205,gamma,1410.12,0
845.8,6.7,78.527,alpha,975.2,0
771.84,47.5,87.513,gamma,1292.77,1
551.04,5.8,39.359,alpha,1412.66,0
770.13,12.0,30.673,beta,991.77,0
502.41,0.4,43.3885,beta,1032.44,0
540.56,17.3,4.676,gamma,1183.4,0
281.31,6.6,30.141,alpha,789.37,0
579.4,5.6,85.918,beta,1027.52,0
512.08,1.8,50.267,alpha,1535.7,0
239.47,34.0,24.902,alpha,875.0,1
489.76,11.8,71.305,beta,1213.46,0
484.05,3.8,13.714,gamma,1130.95,0
515.645,0.4,18.192,alpha,959.06,0
678.84,21.3,92.95,gamma,1055.41,0
502.29,11.5,-1.025,beta,1438.15,0
549.76,6.4,44.434,gamma,1138.4,0
508.84,3.7,53.443,alpha,1177.45,0
459.42,15.5,15.329,alpha,1400.22,0
283.51,18.0,20.911,gamma,927.65,0
469.79,6.3,14.403,alpha,738.27,0
350.78,8.2,27.97,alpha,1442.09,0
492.29,39.8,88.836,gamma,1034.13,1
602.24,53.4,37.475,gamma,1223.4,1
578.25,24.5,35.961,alpha,809.42,0
142.66,7.9,32.524,gamma,1097.13,0
475.46,1.4,96.053,beta,725.77,0
699.14,21.0,2.903,alpha,1015.93,0
711.84,0.4,85.906,beta,838.02,0
705.17,4.5,25.988,alpha,780.59,0
507.78,0.5,95.216,alpha,924.22,0
330.99,13.3,24.675,alpha,426.65,0
283.26,5.3,-0.884,alpha,710.02,0
568.92,9.5,47.205,beta,1195.6,0
575.86,7.1,15.065,gamma,1086.92,0
757.47,10.0,43.3885,beta,731.45,0
720.0,1.5,62.304,alpha,1136.97,0
473.55,1.2,65.512,beta,780.45,0
5926.146739252239,14.0,11.284,gamma,1180.49,1
436.18,6.6,67.949,gamma,971.09,0
543.45,6.9,24.246,gamma,918.72,0
459.58,0.9,99.854,beta,977.23,0
384.42,8.4,70.494,beta,1639.88,0
550.58,9.8,54.945,alpha,810.3,0
399.21,0.3,85.383,beta,1056.64,0
374.39,1.2,54.824,beta,1195.34,0
562.29,9.2,50.802,alpha,759.4,0
419.6,0.9,16.105,alpha,601.44,0
548.82,3.6,64.592,gamma,849.73,0
554.64,1.6,31.211,alpha,1189.87,0
272.11,8.1,-5.261,alpha,914.5,0
403.75,8.5,79.767,beta,942.22,0
787.56,10.3,50.267,alpha,1227.69,0
267.58,16.1,63.953,gamma,798.41,0
5721.4851016963785,5.8,7.239,gamma,977.81,1
127.63,0.5,37.583,gamma,621.54,0
505.82,23.4,84.5,alpha,1080.18,0
506.18,10.3,0.386,gamma,1057.38,0
476.48,5.7,63.387,alpha,1198.88,0
742.84,10.2,57.388,alpha,713.69,0
34.57,3.0,85.428,gamma,952.03,1
579.19,5.1,44.434,gamma,680.38,0
812.29,14.4,77.977,alpha,938.47,0
274.44,12.1,39.513,gamma,1370.45,0
424.04,34.0,37.151,alpha,919.81,0
349.42,4.1,29.796,gamma,658.52,0
321.13,10.2,32.413,beta,830.03,0
434.75,8.3,47.196,alpha,597.26,0
492.29,0.6,1.748,gamma,676.06,0
867.48,7.7,36.757,gamma,1167.75,0
432.81,7.7,61.718,gamma,638.43,0
881.01,6.1,44.801,beta,1078.08,0
507.12,1.3,8.241,gamma,1006.44,0
850.74,7.7,29.936,gamma,867.12,0
481.34,16.1,38.726,gamma,1056.84,0
526.21,24.2,63.576,beta,765.58,0
573.09,8.2,89.084,alpha,1210.21,0
1135.77,3.9,50.541,beta,825.41,1
670.26,13.5,64.4,beta,903.41,0
358.55,12.3,50.267,alpha,873.66,0
693.8,30.7,94.991,alpha,1172.37,1
427.63,12.1,24.673,beta,1136.11,0
402.05,8.1,28.972,gamma,344.57,0
681.72,2.4,14.513,alpha,1063.56,0
506.22,9.2,-0.686,gamma,563.85,0
555.72,3.7,76.905,gamma,914.67,0
502.8,1.7,16.454,alpha,972.96,0
567.32,27.8,21.096,alpha,911.99,0
584.99,5.5,9.998,gamma,1125.2,0
112.61,19.4,97.237,gamma,1180.02,1
633.31,18.0,75.914,beta,806.63,0
303.6,5.5,92.289,gamma,797.55,0
211.54,8.2,84.79,alpha,991.01,0
488.32,14.1,43.3885,beta,614.07,0
5651.846311584592,0.2,42.694,beta,880.76,1
361.3,15.5,8.76,alpha,1337.02,0
666.21,3.3,25.957,gamma,623.42,0
231.56,2.4,22.17,beta,914.97,0
418.61,2.9,68.885,alpha,851.92,0
383.03,22.1,-7.176,alpha,1501.32,1
490.68,8.2,5.625,alpha,865.53,0
555.77,5.5,65.117,beta,880.05,0
298.42,12.7,3.579,gamma,742.31,0
644.86,8.2,-4.688,alpha,1002.33,0
512.6,2.1,2.014,beta,1067.54,0
121.61,9.3,65.974,beta,778.55,0
108.28,2.6,5.326,beta,1247.18,1
497.54,32.5,6.093,beta,1067.77,1
455.81,0.8,15.333,gamma,1212.97,0
479.32,0.7,72.6,gamma,917.97,0
494.4,5.9,12.039,beta,1060.8,0
545.11,1.3,-6.109,gamma,946.73,0
689.53,4.4,89.645,alpha,1364.42,0
277.78,19.1,86.395,alpha,1029.07,0
265.61,4.9,10.33,alpha,1002.19,0
281.34,0.4,19.188,alpha,885.44,0
557.78,40.4,10.741,gamma,871.01,1
748.99,1.7,69.149,alpha,1059.43,0
413.73,8.9,17.501,beta,1204.9,0
0.34,9.0,92.459,beta,828.86,1
159.2,5.3,81.041,gamma,1031.64,0
333.39,0.1,54.724,alpha,1046.04,0
388.45,7.0,-9.017,gamma,1089.59,1
418.32,3.6,87.204,beta,573.13,0
507.72,13.2,70.054,alpha,768.82,0
437.65,0.6,76.67,alpha,658.54,0
709.87,15.8,-2.099,gamma,1008.22,0
364.8,12.6,67.942,gamma,774.76,0
327.54,12.9,78.505,gamma,875.94,0
595.78,12.9,95.23,beta,701.43,0
192.87,32.2,53.852,gamma,899.19,1
577.94,1.3,45.885,alpha,718.97,0
520.51,0.9,36.794,alpha,1189.48,0
470.51,0.9,67.142,gamma,1119.81,0
817.66,8.6,91.29,alpha,1037.56,0
375.56,1.3,55.973,beta,924.51,0
912.06,8.8,15.001,beta,490.58,0
454.91,9.6,-8.067,alpha,885.45,0
244.6,1.3,58.102,gamma,809.64,0
513.98,19.1,85.106,alpha,1061.82,0
284.75,5.0,-2.743,gamma,1154.93,0
349.65,13.3,33.733,alpha,1081.16,0
579.41,13.5,93.405,beta,1315.76,0
611.12,2.1,45.184,alpha,857.92,0
375.57,26.7,14.272,beta,847.56,0
697.48,3.7,28.902,alpha,1259.47,0
731.5,38.5,34.895,alpha,1041.55,1
787.26,8.4,2.902,beta,938.25,0
605.88,0.2,62.687,gamma,1461.63,0
772.69,2.3,55.138,gamma,1144.43,0
123.84,7.2,61.25,gamma,952.36,0
436.42,8.9,57.187,gamma,828.51,0
326.6,12.5,-8.166,gamma,1331.63,1
523.85,10.6,9.191,gamma,1051.75,0
385.71,4.5,8.213,beta,1006.13,0
466.77,14.7,0.775,gamma,1169.07,0
876.43,0.8,70.902,gamma,1220.02,0
466.06,0.4,3.215,beta,1137.47,0
582.76,1.6,63.501,alpha,1220.99,0
453.55,1.6,9.623,alpha,1112.84,0
515.14,5.8,3.014,beta,1138.72,0
501.2,11.0,7.878,beta,817.09,0
589.66,45.4,45.924,beta,1452.59,1
733.06,3.1,44.434,gamma,691.58,0
829.48,10.8,79.312,beta,1077.34,0
561.92,1.9,4.142,beta,665.81,0
617.91,0.6,57.781,gamma,975.47,0
269.83,0.4,75.122,gamma,857.18,0
482.42,15.5,24.365,beta,1033.94,0
688.06,47.2,-1.231,beta,1085.44,1
673.19,32.4,7.154,alpha,760.92,1
542.32,6.9,0.071,beta,992.65,0
677.28,0.5,87.593,alpha,1348.42,0
501.44,2.2,31.437,beta,671.93,0
740.06,19.0,47.568,beta,786.49,0
557.87,3.0,74.556,alpha,1215.19,0
428.86,10.5,30.865,gamma,1019.39,0
567.17,4.3,61.401,alpha,1037.79,0
86.12,8.5,-1.565,beta,1255.58,1
576.58,19.5,42.9,beta,801.48,0
229.68,7.0,0.617,beta,870.17,0
155.31,58.6,17.311,beta,839.34,1
590.35,5.5,22.267,alpha,912.95,0
515.645,5.3,68.934,alpha,1334.88,0
267.51,8.0,64.151,gamma,574.73,0
357.58,0.7,72.179,alpha,701.45,0
774.11,19.6,-3.207,beta,658.58,1
403.19,5.7,99.331,alpha,1350.42,0
948.58,14.3,-4.014,beta,846.4,1
499.62,9.2,80.832,beta,918.33,0
581.61,10.6,71.43,beta,596.34,0
823.37,11.8,55.094,gamma,934.4,0
526.21,3.5,38.274,alpha,1216.63,0
299.53,19.2,73.285,beta,1063.24,0
478.05,0.0,71.384,alpha,973.03,0
492.88,0.9,5.09,beta,608.78,0
227.05,16.0,77.19,alpha,918.01,0
448.83,32.8,-1.359,alpha,1036.73,1
351.56,3.5,45.06,gamma,752.04,0
684.87,1.8,60.959,gamma,1163.72,0
506.92,7.9,80.386,alpha,1221.27,0
443.44,1.8,40.942,alpha,867.84,0
478.76,0.3,50.267,alpha,1181.46,0
544.62,8.1,43.973,alpha,972.57,0
623.36,7.7,17.523,gamma,1286.78,0
300.06,11.2,48.16,beta,1508.54,0
291.68,5.5,40.876,beta,726.58,0
720.94,31.8,75.855,beta,1192.37,1
501.44,9.9,16.41,beta,1326.24,0
216.63,14.8,11.998,beta,757.33,0
588.76,7.5,42.16,beta,856.22,0
592.67,12.5,-4.445,gamma,853.41,0
193.86,19.9,15.227,alpha,966.8,0
545.9,8.1,28.908,beta,910.91,0
647.12,8.1,43.639,alpha,950.43,0
574.88,2.1,19.638,beta,1209.5,0
626.4,0.3,51.67,gamma,526.05,0
219.15,3.9,86.626,gamma,756.53,0
566.21,8.8,49.81,beta,1167.48,0
439.48,17.5,21.552,alpha,1138.19,0
403.44,8.1,-3.182,gamma,735.36,0
674.11,33.5,5.033,beta,1139.93,1
795.85,11.7,51.734,gamma,1331.72,0
858.87,21.2,65.208,beta,987.74,1
9891.838444114232,67.7,-4.537,alpha,748.01,1
478.05,28.2,10.41,gamma,1218.74,0
570.54,35.8,25.099,gamma,1430.76,1
653.36,6.4,25.175,gamma,778.46,0
524.24,2.1,50.267,alpha,1009.81,0
526.15,5.2,12.415,beta,1272.54,0
664.75,1.0,-3.123,beta,1028.84,0
488.14,1.5,28.832,alpha,563.18,0
354.14,0.3,4.789,gamma,1110.85,0
417.11,0.0,3.924,alpha,755.3,0
626.78,27.8,34.82,alpha,682.32,0
500.6,41.8,50.267,alpha,568.06,1
568.04,13.4,0.09,gamma,1297.6,0
515.645,10.3,56.473,alpha,791.32,0
425.03,8.1,45.187,beta,1083.33,0
651.25,43.7,-1.519,alpha,1144.74,1
575.77,4.7,84.902,beta,1040.45,0
253.04,18.3,43.3885,beta,1074.14,0
788.46,3.3,95.752,alpha,1095.26,1
399.85,3.4,92.469,alpha,1034.52,0
168.98,14.7,37.751,beta,809.96,0
290.99,17.4,15.142,alpha,787.67,0
295.79,1.5,81.834,beta,973.75,0
510.43,12.9,29.741,beta,968.46,0
445.23,12.1,7.991,alpha,1107.33,0
432.63,2.6,50.677,alpha,1275.41,0
623.94,30.7,43.834,beta,1085.98,0
567.98,8.1,83.502,gamma,797.28,0
563.21,5.1,70.221,alpha,454.71,0
581.97,5.0,43.3885,beta,807.77,0
623.23,5.1,70.817,gamma,663.88,0
78.41,0.6,60.639,beta,817.41,0
427.11,16.8,45.019,alpha,1060.57,0
63.96,7.7,98.631,gamma,1021.1,1
507.21,25.8,95.508,beta,1464.54,0
499.07,5.5,83.374,beta,1120.77,0
709.11,15.1,75.285,gamma,1477.29,0
737.53,4.9,53.532,alpha,1178.78,0
540.56,1.9,18.573,gamma,1271.43,0
399.93,5.5,86.298,beta,910.27,0
597.03,5.6,-8.81,gamma,731.37,0
394.42,2.4,15.018,gamma,887.76,0
499.72,6.0,44.434,gamma,997.03,0
697.23,7.2,54.477,alpha,842.96,0
388.45,3.5,51.697,alpha,749.71,0
661.14,0.7,9.34,gamma,1104.21,0
635.48,3.0,1.528,beta,748.65,0
309.04,24.6,14.456,gamma,616.63,0
694.78,9.8,44.434,gamma,719.48,0
639.71,4.5,-8.454,beta,941.41,0
520.39,3.6,66.17,alpha,752.27,0
347.54,12.2,17.25,alpha,942.98,0
328.16,2.4,28.654,gamma,1150.11,0
392.47,2.9,26.839,alpha,1143.61,0
608.52,21.2,46.301,alpha,834.79,0
515.645,6.9,84.578,alpha,674.01,0
587.5,2.0,6.433,gamma,856.09,0
251.65,0.3,27.48,beta,1163.91,0
459.19,40.4,66.123,gamma,1222.3,1
521.93,0.0,-5.135,beta,1088.22,1
989.03,8.7,81.298,beta,1300.36,1
224.54,12.2,95.801,alpha,1432.3,1
794.4,9.3,56.84,beta,879.19,0
529.97,5.6,95.216,beta,1371.64,0
582.23,22.1,35.437,gamma,934.86,0
523.67,24.6,35.653,gamma,1254.96,0
588.95,5.9,1.687,gamma,1177.14,0
469.26,8.2,-6.101,gamma,505.74,0
790.81,8.3,16.895,gamma,758.44,0
408.71,12.8,42.594,gamma,694.68,0
726.45,2.5,45.845,gamma,554.49,0
371.13,0.8,13.933,alpha,1219.83,0
487.95,6.2,50.267,alpha,1517.19,0
285.61,1.3,9.933,beta,935.58,0
591.0,7.2,25.883,alpha,1213.54,0
789.03,18.1,11.528,beta,1371.16,0
484.53,7.0,66.633,alpha,1052.08,0
460.62,8.6,46.823,gamma,993.67,0
501.44,8.4,70.971,beta,938.58,0
515.645,15.3,-3.703,alpha,1134.39,0
181.44,9.5,36.79,beta,1218.67,0
317.42,6.2,96.365,gamma,1115.45,0
545.36,6.0,-4.102,alpha,1106.87,0
763.8,7.7,36.022,gamma,987.2,0
492.29,6.2,-5.556,gamma,601.76,0
382.68,16.0,6.132,gamma,1224.43,0
787.06,5.6,40.878,alpha,678.84,0
548.75,4.9,7.326,beta,1154.85,0
469.75,8.9,47.063,gamma,1188.93,0
586.52,2.0,91.5,beta,714.89,0
512.38,1.0,12.045,beta,848.05,0
515.645,14.0,1.791,alpha,1530.37,0
418.33,3.7,80.78,beta,980.13,0
220.38,3.3,40.63,gamma,694.95,0
191.27,22.3,87.087,alpha,1200.22,1
630.65,26.1,23.674,gamma,806.83,0
444.66,7.6,59.029,gamma,519.87,0
380.78,8.2,91.564,alpha,1129.94,0
501.7,36.5,8.887,gamma,770.85,1
658.99,5.5,78.08,beta,1080.3,0
536.07,21.3,59.467,alpha,796.83,0
368.79,14.2,79.424,beta,1176.8,0
745.26,32.4,8.776,beta,1045.87,1
815.84,2.8,37.75,alpha,352.7,0
598.91,17.7,4.172,beta,1095.5,0
694.73,1.9,95.609,beta,927.57,0
748.39,17.6,-3.104,beta,1354.18,0
726.02,4.2,-2.797,beta,1098.8,0
622.82,0.6,88.797,beta,1189.04,0
619.67,18.9,23.084,beta,822.36,0
5412.59014410414,0.6,55.672,beta,802.48,1
280.53,20.0,21.622,gamma,993.59,0
640.14,2.3,61.363,gamma,909.85,0
228.84,8.9,11.172,beta,1334.5,0
341.08,0.4,44.434,gamma,961.67,0
760.71,0.8,48.684,gamma,693.79,0
668.04,3.2,26.701,alpha,793.1,0
797.48,4.8,17.687,beta,1241.26,0
445.67,2.1,5.423,gamma,958.19,0
269.55,1.3,67.676,alpha,944.82,0
451.91,1.6,8.511,beta,1265.05,0
520.41,7.7,22.134,gamma,771.31,0
515.8,0.6,27.06,gamma,441.21,0
726.74,25.9,39.98,gamma,786.78,0
427.75,26.5,67.283,beta,1060.52,0
570.41,0.7,37.074,alpha,937.62,0
302.27,13.2,85.82,alpha,609.89,0
590.06,12.3,64.776,gamma,1254.01,0
500.62,8.7,82.234,gamma,1040.87,0
350.04,3.1,68.799,alpha,1097.25,0
452.83,8.7,6.349,alpha,1104.9,0
463.16,20.5,97.572,alpha,675.37,0
445.97,3.7,76.524,gamma,1075.72,0
854.27,16.8,52.999,gamma,1226.86,0
480.31,6.7,8.175,gamma,1285.08,0
515.645,23.8,8.995,alpha,1180.32,0
80.51,10.2,57.576,gamma,1128.28,0
321.16,18.6,35.782,gamma,565.64,0
447.39,32.4,64.345,beta,996.27,1
362.83,6.1,30.967,gamma,760.86,0
776.34,12.1,46.413,beta,1320.54,0
467.01,37.9,10.675,alpha,1282.59,1
757.69,59.5,7.072,beta,762.37,1
512.34,8.9,-1.679,alpha,988.51,0
507.45,30.7,80.16,alpha,1062.13,0
501.44,4.9,51.092,beta,1225.2,0
500.76,5.5,44.434,gamma,581.1,0
843.76,29.6,72.443,alpha,447.59,1
36.08,10.6,74.564,alpha,1009.54,0
99.69,19.1,45.996,gamma,367.15,0
391.37,5.0,79.7,alpha,1039.64,0
502.91,17.6,93.627,alpha,1148.05,0
638.02,20.6,69.391,alpha,1309.02,0
594.62,5.3,1.615,alpha,844.36,0
423.15,7.7,61.612,gamma,1040.3,0
703.81,4.4,3.248,beta,1162.88,0
706.04,23.4,-1.506,gamma,706.07,1
536.81,12.9,66.219,gamma,1228.84,0
692.53,2.0,81.826,beta,1068.59,0
554.53,33.4,7.473,gamma,848.64,1
387.7,8.2,-1.844,alpha,1035.35,0
639.56,5.4,87.518,alpha,965.17,0
522.12,10.6,4.543,gamma,1195.02,0
500.27,2.6,-6.141,beta,909.88,0
794.59,4.1,43.3885,beta,1056.77,0
9.83,21.0,83.249,beta,844.77,1
216.46,4.0,46.592,gamma,765.54,0
262.59,42.2,49.392,alpha,1042.88,1
492.29,2.9,27.055,gamma,775.81,0
449.08,24.1,16.231,gamma,1200.15,0
198.53,24.5,73.076,gamma,1148.06,0
302.97,13.8,83.421,alpha,808.72,0
327.83,8.2,25.337,alpha,1053.45,0
991.48,5.1,20.12,alpha,807.58,1
860.35,8.0,19.457,gamma,598.92,0
417.65,16.4,-4.435,beta,850.69,0
427.28,43.4,20.918,gamma,987.42,1
270.16,12.4,-7.178,alpha,1130.35,1
118.37,8.4,76.725,beta,1037.37,0
476.62,8.2,18.152,alpha,1226.92,0
300.43,6.7,65.917,gamma,754.71,0
483.03,2.8,49.751,alpha,905.83,0
501.44,25.7,82.121,beta,1411.09,0
347.61,45.4,95.642,gamma,517.23,1
529.73,18.8,30.402,gamma,887.01,0
573.24,3.6,-0.283,gamma,732.13,0
583.49,11.3,72.461,beta,951.15,0
235.9,12.9,-7.657,alpha,891.39,1
670.94,6.1,14.526,alpha,1150.54,0
339.96,12.4,-4.142,beta,1063.88,0
626.57,39.8,88.796,beta,673.6,1
497.87,7.7,-9.417,beta,852.96,0
224.72,8.5,50.267,alpha,999.97,0
436.76,13.1,36.64,gamma,1184.85,0
573.07,8.0,61.802,beta,1608.24,0
622.59,21.0,21.872,alpha,1175.7,0
471.8,6.1,86.106,gamma,746.88,0
806.36,11.6,43.3885,beta,976.54,0
701.5,17.7,37.552,alpha,1045.24,0
448.67,3.1,29.383,beta,870.15,0
650.02,8.4,79.748,gamma,1117.56,0
886.76,7.4,73.277,gamma,432.16,0
892.1,6.7,33.89,alpha,1138.29,0
254.4,5.7,27.551,gamma,880.9,0
314.69,2.2,-5.722,beta,972.57,0
796.98,14.1,-1.012,gamma,1366.43,0
288.34,1.3,-4.069,gamma,684.62,1
235.49,25.4,44.434,gamma,1068.18,0
402.76,4.9,6.816,beta,1198.48,0
584.05,4.1,84.286,beta,1042.58,0
479.52,4.7,77.798,gamma,596.45,0
369.89,28.8,83.013,gamma,1337.6,1
365.16,5.0,58.618,gamma,947.16,0
357.53,9.6,58.647,gamma,868.11,0
324.1,1.5,3.632,beta,922.38,0
956.33,22.0,66.886,gamma,904.46,1
559.5,26.0,20.803,gamma,702.46,0
515.645,0.5,47.118,alpha,1041.24,0
515.645,4.4,95.019,alpha,850.69,0
462.81,2.2,85.768,gamma,1167.72,0
357.29,45.5,15.651,beta,1129.4,1
30.34,3.0,71.032,gamma,1406.42,0
224.4,16.4,1.45,alpha,947.09,0
137.88,18.8,-7.058,beta,799.19,1
492.29,31.9,-6.901,gamma,632.56,1
260.93,5.5,8.727,beta,1548.34,0
764.99,1.5,66.444,gamma,1165.53,0
491.11,1.0,29.964,alpha,826.9,0
758.11,11.1,-8.246,beta,1423.29,1
582.2,14.3,98.682,beta,1339.04,0
656.51,6.1,48.672,gamma,662.18,0
319.82,12.1,33.327,beta,811.63,0
604.79,9.5,47.073,alpha,966.92,0
645.74,6.9,47.197,gamma,732.48,0
384.67,13.5,41.726,gamma,975.86,0
611.91,1.5,57.424,gamma,1177.99,0
613.24,2.3,87.419,alpha,656.68,0
390.09,14.6,23.189,gamma,1073.25,0
275.45,49.9,43.567,beta,1292.12,1
263.17,12.5,-9.599,gamma,1100.06,1
517.3,6.9,84.58,beta,981.1,0
565.4,17.7,44.434,gamma,832.97,0
341.49,52.0,19.843,beta,1207.71,1
505.32,4.8,99.729,beta,705.77,0
614.11,4.8,54.283,gamma,1060.7,0
623.64,0.1,3.535,alpha,1006.38,0
810.38,5.7,19.208,gamma,1281.4,0
755.4,1.2,28.855,alpha,854.31,0
299.74,28.6,98.467,gamma,875.57,1
836.72,36.9,37.368,alpha,689.53,1
393.8,1.8,15.315,alpha,1109.32,0
708.97,50.5,52.67,beta,894.05,1
513.6,8.9,34.524,alpha,784.48,0
417.57,0.2,-3.954,alpha,808.3,1
138.46,32.8,84.701,alpha,1134.28,1
